Date,Location,Cases,Area
2020-01-19,Αττική,676,Στερεά Ελλάδα
2020-01-20,Αττική,364,Στερεά Ελλάδα
2020-01-21,Αττική,364,Στερεά Ελλάδα
2020-01-21,Πρέβεζα,17,Ήπειρος
2020-01-22,Αττική,364,Στερεά Ελλάδα
2020-01-22,Πρέβεζα,17,Ήπειρος
2020-01-23,Αττική,364,Στερεά Ελλάδα
2020-01-24,Αττική,364,Στερεά Ελλάδα
2020-01-25,Αττική,364,Στερεά Ελλάδα
2020-01-26,Αττική,271,Στερεά Ελλάδα
2020-01-27,Αττική,271,Στερεά Ελλάδα
2020-01-27,Πρέβεζα,17,Ήπειρος
2020-01-28,Αττική,364,Στερεά Ελλάδα
2020-01-28,Πρέβεζα,17,Ήπειρος
2020-01-29,Αττική,364,Στερεά Ελλάδα
2020-01-29,Πρέβεζα,17,Ήπειρος
2020-01-30,Αττική,364,Στερεά Ελλάδα
2020-01-30,Πρέβεζα,17,Ήπειρος
2020-01-31,Αττική,364,Στερεά Ελλάδα
2020-02-01,Θεσσαλονίκη,24,Μακεδονία
2020-02-01,Αττική,364,Στερεά Ελλάδα
2020-02-02,Αττική,364,Στερεά Ελλάδα
2020-02-02,Πρέβεζα,17,Ήπειρος
2020-02-03,Αττική,364,Στερεά Ελλάδα
2020-02-03,Θεσσαλονίκη,25,Μακεδονία
2020-02-03,Πρέβεζα,17,Ήπειρος
2020-02-04,Αττική,364,Στερεά Ελλάδα
2020-02-04,Πρέβεζα,17,Ήπειρος
2020-02-05,Αττική,364,Στερεά Ελλάδα
2020-02-05,Πρέβεζα,17,Ήπειρος
2020-02-06,Αττική,364,Στερεά Ελλάδα
2020-02-06,Πρέβεζα,17,Ήπειρος
2020-02-07,Πρέβεζα,17,Ήπειρος
2020-02-07,Αττική,364,Στερεά Ελλάδα
2020-02-08,Πρέβεζα,17,Ήπειρος
2020-02-08,Αττική,364,Στερεά Ελλάδα
2020-02-09,Αττική,271,Στερεά Ελλάδα
2020-02-09,Πρέβεζα,17,Ήπειρος
2020-02-10,Αττική,364,Στερεά Ελλάδα
2020-02-10,Πρέβεζα,17,Ήπειρος
